target,scheme,segment,feature,importance_mean,importance_rank,source_file,feature_family
day_ahead_price,xgb_oof_train,peak,lag_1,0.3991998891131236,2,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,peak,lag_2,0.0205285190604627,3,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,peak,sin_slot96,0.0158115731095537,4,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_oof_train,peak,lag_96,0.0148948276630387,5,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,peak,diff_1,0.0124638007882122,6,feature_importance_day_ahead_price.csv,diff
day_ahead_price,xgb_oof_train,peak,roll_mean_16,0.0122836786456621,7,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_oof_train,peak,slot96,0.009560402124547,8,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_oof_train,peak,lag_192,0.0086499331563782,9,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,peak,roll_mean_96,0.0085899307070156,10,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_oof_train,valley,lag_1,0.5088720046556913,1,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,valley,roll_mean_4,0.2436859513131472,2,feature_importance_day_ahead_price.csv,roll_mean
day_ahead_price,xgb_oof_train,valley,lag_2,0.1143364232893173,3,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,valley,diff_1,0.0143560836485658,4,feature_importance_day_ahead_price.csv,diff
day_ahead_price,xgb_oof_train,valley,roll_std_96,0.0106625774955878,5,feature_importance_day_ahead_price.csv,roll_std
day_ahead_price,xgb_oof_train,valley,minute,0.009503905450961,6,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_oof_train,valley,lag_672,0.0085973092578709,7,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,valley,dayofweek,0.0085365832951188,8,feature_importance_day_ahead_price.csv,calendar_time
day_ahead_price,xgb_oof_train,valley,lag_96,0.0085282148703789,9,feature_importance_day_ahead_price.csv,lag
day_ahead_price,xgb_oof_train,valley,slot96,0.0077969711094808,10,feature_importance_day_ahead_price.csv,calendar_time
real_time_price,chronos_xgb_residual_xgb_part,flat,lag_1,0.3574387431144714,1,feature_importance_real_time_price.csv,lag
real_time_price,chronos_xgb_residual_xgb_part,flat,roll_mean_4,0.2886812388896942,2,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,flat,is_holiday,0.0328981839120388,3,feature_importance_real_time_price.csv,holiday_binary
real_time_price,chronos_xgb_residual_xgb_part,flat,lag_4,0.0218153111636638,4,feature_importance_real_time_price.csv,lag
real_time_price,chronos_xgb_residual_xgb_part,flat,roll_mean_96,0.0217107404023408,5,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,flat,lag_192,0.021624568849802,6,feature_importance_real_time_price.csv,lag
real_time_price,chronos_xgb_residual_xgb_part,flat,diff_96,0.0202232245355844,7,feature_importance_real_time_price.csv,diff
real_time_price,chronos_xgb_residual_xgb_part,flat,sin_slot96,0.0200582332909107,8,feature_importance_real_time_price.csv,calendar_time
real_time_price,chronos_xgb_residual_xgb_part,flat,roll_mean_672,0.0197799075394868,9,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,flat,roll_mean_16,0.0196165964007377,10,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,global,lag_1,0.3347938060760498,1,feature_importance_real_time_price.csv,lag
real_time_price,chronos_xgb_residual_xgb_part,global,roll_mean_4,0.2909261584281921,2,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,global,holiday_name_Dragon Boat Festival,0.0836198106408119,3,feature_importance_real_time_price.csv,holiday_name
real_time_price,chronos_xgb_residual_xgb_part,global,holiday_name_None,0.034860011190176,4,feature_importance_real_time_price.csv,holiday_name
real_time_price,chronos_xgb_residual_xgb_part,global,roll_mean_16,0.0236561950296163,5,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,global,sin_slot96,0.0195549931377172,6,feature_importance_real_time_price.csv,calendar_time
real_time_price,chronos_xgb_residual_xgb_part,global,lag_2,0.017919834703207,7,feature_importance_real_time_price.csv,lag
real_time_price,chronos_xgb_residual_xgb_part,global,diff_96,0.0166394039988517,8,feature_importance_real_time_price.csv,diff
real_time_price,chronos_xgb_residual_xgb_part,global,slot96,0.0143963433802127,9,feature_importance_real_time_price.csv,calendar_time
real_time_price,chronos_xgb_residual_xgb_part,global,lag_192,0.0138052785769104,10,feature_importance_real_time_price.csv,lag
real_time_price,chronos_xgb_residual_xgb_part,peak,roll_mean_4,0.3420212268829345,1,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,peak,lag_1,0.1279570758342743,2,feature_importance_real_time_price.csv,lag
real_time_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Dragon Boat Festival,0.113559678196907,3,feature_importance_real_time_price.csv,holiday_name
real_time_price,chronos_xgb_residual_xgb_part,peak,dayofweek,0.0500257797539234,4,feature_importance_real_time_price.csv,calendar_time
real_time_price,chronos_xgb_residual_xgb_part,peak,holiday_name_None,0.0414919927716255,5,feature_importance_real_time_price.csv,holiday_name
real_time_price,chronos_xgb_residual_xgb_part,peak,roll_mean_16,0.0314105451107025,6,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,peak,cos_slot96,0.0270714815706014,7,feature_importance_real_time_price.csv,calendar_time
real_time_price,chronos_xgb_residual_xgb_part,peak,minute,0.0235716272145509,8,feature_importance_real_time_price.csv,calendar_time
real_time_price,chronos_xgb_residual_xgb_part,peak,holiday_name_Labour Day,0.0193109828978776,9,feature_importance_real_time_price.csv,holiday_name
real_time_price,chronos_xgb_residual_xgb_part,peak,roll_mean_672,0.0154133820906281,10,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,valley,roll_mean_4,0.2425517290830612,1,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,valley,lag_1,0.2260392308235168,2,feature_importance_real_time_price.csv,lag
real_time_price,chronos_xgb_residual_xgb_part,valley,is_holiday,0.0604413338005542,3,feature_importance_real_time_price.csv,holiday_binary
real_time_price,chronos_xgb_residual_xgb_part,valley,roll_mean_16,0.0591537728905677,4,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,valley,lag_672,0.0368580371141433,5,feature_importance_real_time_price.csv,lag
real_time_price,chronos_xgb_residual_xgb_part,valley,roll_mean_96,0.0366943813860416,6,feature_importance_real_time_price.csv,roll_mean
real_time_price,chronos_xgb_residual_xgb_part,valley,lag_192,0.0252726823091506,7,feature_importance_real_time_price.csv,lag
