target,scheme,segment,feature,importance_mean,importance_rank
day_ahead_price,xgb_only,global,minute,0.01197702158242464,5
day_ahead_price,xgb_only,global,sin_slot96,0.01131358090788126,6
day_ahead_price,xgb_only,global,lag_2,0.011283277533948421,7
day_ahead_price,xgb_only,global,is_holiday,0.011233878321945667,8
day_ahead_price,xgb_only,global,diff_96,0.011040669865906239,9
day_ahead_price,xgb_only,global,lag_672,0.010983100160956383,10
day_ahead_price,xgb_only,global,slot96,0.01062468159943819,11
day_ahead_price,xgb_only,global,cos_slot96,0.01040258165448904,12
day_ahead_price,xgb_only,global,lag_192,0.009473689831793308,13
day_ahead_price,xgb_only,global,roll_mean_96,0.008445922285318375,14
day_ahead_price,xgb_only,global,roll_std_96,0.007540739141404629,15
day_ahead_price,xgb_only,global,holiday_name_National Day,0.006962940562516451,16
day_ahead_price,xgb_only,global,lag_4,0.006145302671939135,17
day_ahead_price,xgb_only,global,dayofweek,0.006090790499001741,18
day_ahead_price,xgb_only,global,roll_mean_16,0.005282025318592787,19
day_ahead_price,xgb_only,global,roll_mean_672,0.004530805163085461,20
day_ahead_price,xgb_only,global,hour,0.0028099503833800554,21
day_ahead_price,xgb_only,global,after_holiday_1d,0.0,22
day_ahead_price,xgb_only,global,before_holiday_1d,0.0,23
day_ahead_price,xgb_only,global,holiday_name_Dragon Boat Festival,0.0,24
day_ahead_price,xgb_only,global,holiday_name_Labour Day,0.0,25
day_ahead_price,xgb_only,global,holiday_name_Mid-autumn Festival,0.0,26
day_ahead_price,xgb_only,global,holiday_name_New Year's Day,0.0,27
day_ahead_price,xgb_only,global,holiday_name_None,0.0,28
day_ahead_price,xgb_only,global,holiday_name_Spring Festival,0.0,29
day_ahead_price,xgb_only,global,holiday_name_Tomb-sweeping Day,0.0,30
day_ahead_price,xgb_only,global,is_makeup_workday,0.0,31
day_ahead_price,xgb_only,global,is_weekend,0.0,32
day_ahead_price,xgb_only,global,is_workday,0.0,33
day_ahead_price,xgb_only,peak,lag_1,0.4045158922672272,1
day_ahead_price,xgb_only,peak,roll_mean_4,0.37399226427078247,2
day_ahead_price,xgb_only,peak,sin_slot96,0.02326836809515953,3
day_ahead_price,xgb_only,peak,roll_mean_96,0.018647298216819763,4
day_ahead_price,xgb_only,peak,lag_2,0.015212589874863625,5
day_ahead_price,xgb_only,peak,holiday_name_National Day,0.01516062580049038,6
day_ahead_price,xgb_only,peak,diff_1,0.013925018720328808,7
day_ahead_price,xgb_only,peak,roll_mean_16,0.013802344910800457,8
day_ahead_price,xgb_only,peak,hour,0.012679584324359894,9
day_ahead_price,xgb_only,peak,slot96,0.012547243386507034,10
day_ahead_price,xgb_only,peak,lag_96,0.012416928075253963,11
day_ahead_price,xgb_only,peak,diff_96,0.011265924200415611,12
day_ahead_price,xgb_only,peak,dayofweek,0.011146463453769684,13
day_ahead_price,xgb_only,peak,lag_4,0.011130656115710735,14
day_ahead_price,xgb_only,peak,lag_192,0.010467329062521458,15
day_ahead_price,xgb_only,peak,lag_672,0.008962643332779408,16
day_ahead_price,xgb_only,peak,roll_std_96,0.006647022441029549,17
day_ahead_price,xgb_only,peak,cos_slot96,0.006163143087178469,18
day_ahead_price,xgb_only,peak,roll_mean_672,0.005871534813195467,19
day_ahead_price,xgb_only,peak,is_workday,0.004949610214680433,20
day_ahead_price,xgb_only,peak,minute,0.004905634559690952,21
day_ahead_price,xgb_only,peak,before_holiday_1d,0.0017138062976300716,22
day_ahead_price,xgb_only,peak,holiday_name_None,0.0006081628380343318,23
day_ahead_price,xgb_only,peak,after_holiday_1d,0.0,24
day_ahead_price,xgb_only,peak,holiday_name_Dragon Boat Festival,0.0,25
day_ahead_price,xgb_only,peak,holiday_name_Labour Day,0.0,26
day_ahead_price,xgb_only,peak,holiday_name_Mid-autumn Festival,0.0,27
day_ahead_price,xgb_only,peak,holiday_name_New Year's Day,0.0,28
day_ahead_price,xgb_only,peak,holiday_name_Spring Festival,0.0,29
day_ahead_price,xgb_only,peak,holiday_name_Tomb-sweeping Day,0.0,30
day_ahead_price,xgb_only,peak,is_holiday,0.0,31
day_ahead_price,xgb_only,peak,is_makeup_workday,0.0,32
day_ahead_price,xgb_only,peak,is_weekend,0.0,33
day_ahead_price,xgb_only,valley,lag_1,0.4795839488506317,1
day_ahead_price,xgb_only,valley,roll_mean_4,0.28820711374282837,2
day_ahead_price,xgb_only,valley,lag_2,0.043146394193172455,3
day_ahead_price,xgb_only,valley,roll_std_96,0.015574171207845211,4
day_ahead_price,xgb_only,valley,slot96,0.015273163095116615,5
day_ahead_price,xgb_only,valley,before_holiday_1d,0.015171085484325886,6
day_ahead_price,xgb_only,valley,diff_1,0.014723654836416245,7
day_ahead_price,xgb_only,valley,lag_96,0.014203369617462158,8
day_ahead_price,xgb_only,valley,lag_672,0.013473373837769032,9
day_ahead_price,xgb_only,valley,minute,0.012907837517559528,10
day_ahead_price,xgb_only,valley,lag_192,0.011174351908266544,11
day_ahead_price,xgb_only,valley,roll_mean_16,0.009678644128143787,12
day_ahead_price,xgb_only,valley,hour,0.008789525367319584,13
day_ahead_price,xgb_only,valley,diff_96,0.008626962080597878,14
day_ahead_price,xgb_only,valley,sin_slot96,0.0083537632599473,15
day_ahead_price,xgb_only,valley,cos_slot96,0.00801590271294117,16
day_ahead_price,xgb_only,valley,lag_4,0.006964714266359806,17
day_ahead_price,xgb_only,valley,roll_mean_672,0.006453425623476505,18
day_ahead_price,xgb_only,valley,roll_mean_96,0.004734201822429895,19
day_ahead_price,xgb_only,valley,is_holiday,0.004072888754308224,20
day_ahead_price,xgb_only,valley,dayofweek,0.0036300593055784702,21
day_ahead_price,xgb_only,valley,holiday_name_None,0.0027821483090519905,22
day_ahead_price,xgb_only,valley,is_workday,0.0024376835208386183,23
day_ahead_price,xgb_only,valley,after_holiday_1d,0.0020216896664351225,24
day_ahead_price,xgb_only,valley,holiday_name_Dragon Boat Festival,0.0,25
day_ahead_price,xgb_only,valley,holiday_name_Labour Day,0.0,26
day_ahead_price,xgb_only,valley,holiday_name_Mid-autumn Festival,0.0,27
day_ahead_price,xgb_only,valley,holiday_name_National Day,0.0,28
day_ahead_price,xgb_only,valley,holiday_name_New Year's Day,0.0,29
day_ahead_price,xgb_only,valley,holiday_name_Spring Festival,0.0,30
day_ahead_price,xgb_only,valley,holiday_name_Tomb-sweeping Day,0.0,31
day_ahead_price,xgb_only,valley,is_makeup_workday,0.0,32
day_ahead_price,xgb_only,valley,is_weekend,0.0,33
day_ahead_price,xgb_oof_train,flat,lag_1,0.4561013736977027,1
day_ahead_price,xgb_oof_train,flat,roll_mean_4,0.1466440764757303,2
day_ahead_price,xgb_oof_train,flat,sin_slot96,0.0876692240484632,3
day_ahead_price,xgb_oof_train,flat,lag_2,0.055443658780020014,4
day_ahead_price,xgb_oof_train,flat,slot96,0.03203712963463309,5
day_ahead_price,xgb_oof_train,flat,diff_1,0.025631915634641282,6
day_ahead_price,xgb_oof_train,flat,minute,0.02484106093358535,7
day_ahead_price,xgb_oof_train,flat,diff_96,0.02032967755356087,8
day_ahead_price,xgb_oof_train,flat,lag_96,0.01872122651324249,9
day_ahead_price,xgb_oof_train,flat,lag_672,0.01587492667246037,10
day_ahead_price,xgb_oof_train,flat,after_holiday_1d,0.015563772480863217,11
day_ahead_price,xgb_oof_train,flat,hour,0.012490661866300238,12
day_ahead_price,xgb_oof_train,flat,roll_mean_16,0.011581279731427249,13
day_ahead_price,xgb_oof_train,flat,roll_std_96,0.010614587531353418,14
day_ahead_price,xgb_oof_train,flat,dayofweek,0.00993359340421963,15
day_ahead_price,xgb_oof_train,flat,lag_4,0.009902567898209851,16
day_ahead_price,xgb_oof_train,flat,roll_mean_96,0.009861661703325808,17
day_ahead_price,xgb_oof_train,flat,lag_192,0.009317545614276942,18
day_ahead_price,xgb_oof_train,flat,before_holiday_1d,0.008023888423429945,19
day_ahead_price,xgb_oof_train,flat,roll_mean_672,0.0074134979334373316,20
day_ahead_price,xgb_oof_train,flat,cos_slot96,0.00740626619125788,21
day_ahead_price,xgb_oof_train,flat,is_holiday,0.0032305735652558864,22
day_ahead_price,xgb_oof_train,flat,is_makeup_workday,0.0005618985815090127,23
day_ahead_price,xgb_oof_train,flat,is_workday,0.00033060420089616225,24
day_ahead_price,xgb_oof_train,flat,is_weekend,0.00026452593290461943,25
day_ahead_price,xgb_oof_train,flat,holiday_name_National Day,0.0001991973216578257,26
day_ahead_price,xgb_oof_train,flat,holiday_name_Mid-autumn Festival,9.600911889370203e-06,27
day_ahead_price,xgb_oof_train,flat,holiday_name_Dragon Boat Festival,0.0,28
day_ahead_price,xgb_oof_train,flat,holiday_name_Labour Day,0.0,29
day_ahead_price,xgb_oof_train,flat,holiday_name_New Year's Day,0.0,30
day_ahead_price,xgb_oof_train,flat,holiday_name_None,0.0,31
day_ahead_price,xgb_oof_train,flat,holiday_name_Spring Festival,0.0,32
day_ahead_price,xgb_oof_train,flat,holiday_name_Tomb-sweeping Day,0.0,33
day_ahead_price,xgb_oof_train,global,lag_1,0.5052960257117565,1
day_ahead_price,xgb_oof_train,global,roll_mean_4,0.2752488297052108,2
day_ahead_price,xgb_oof_train,global,lag_2,0.0238654194220614,3
day_ahead_price,xgb_oof_train,global,sin_slot96,0.021349275610051476,4
day_ahead_price,xgb_oof_train,global,slot96,0.017870564819671787,5
day_ahead_price,xgb_oof_train,global,diff_96,0.016398358176677272,6
day_ahead_price,xgb_oof_train,global,lag_96,0.014518878189846873,7
day_ahead_price,xgb_oof_train,global,lag_672,0.014368120052565176,8
day_ahead_price,xgb_oof_train,global,minute,0.013259019706258467,9
day_ahead_price,xgb_oof_train,global,diff_1,0.012473347023702584,10
day_ahead_price,xgb_oof_train,global,dayofweek,0.009130482290996812,11
day_ahead_price,xgb_oof_train,global,roll_mean_16,0.008523865374557387,12
day_ahead_price,xgb_oof_train,global,lag_192,0.008414743705473553,13
day_ahead_price,xgb_oof_train,global,before_holiday_1d,0.008022904458182612,14
day_ahead_price,xgb_oof_train,global,roll_std_96,0.007923581055365503,15
day_ahead_price,xgb_oof_train,global,after_holiday_1d,0.007389132205459576,16
day_ahead_price,xgb_oof_train,global,lag_4,0.007142192419940749,17
day_ahead_price,xgb_oof_train,global,cos_slot96,0.007116317319182249,18
day_ahead_price,xgb_oof_train,global,roll_mean_672,0.006344545102015568,19
day_ahead_price,xgb_oof_train,global,roll_mean_96,0.005909586652146222,20
day_ahead_price,xgb_oof_train,global,hour,0.005698773642786994,21
day_ahead_price,xgb_oof_train,global,is_holiday,0.0014406101959488855,22
day_ahead_price,xgb_oof_train,global,holiday_name_National Day,0.0013597158876319344,23
day_ahead_price,xgb_oof_train,global,holiday_name_None,0.0005151343849809984,24
day_ahead_price,xgb_oof_train,global,is_weekend,0.00018933328661100508,25
day_ahead_price,xgb_oof_train,global,holiday_name_Spring Festival,0.00011622090600072764,26
day_ahead_price,xgb_oof_train,global,is_workday,0.00011502084537194326,27
day_ahead_price,xgb_oof_train,global,holiday_name_Dragon Boat Festival,0.0,28
day_ahead_price,xgb_oof_train,global,holiday_name_Labour Day,0.0,29
day_ahead_price,xgb_oof_train,global,holiday_name_Mid-autumn Festival,0.0,30
day_ahead_price,xgb_oof_train,global,holiday_name_New Year's Day,0.0,31
day_ahead_price,xgb_oof_train,global,holiday_name_Tomb-sweeping Day,0.0,32
day_ahead_price,xgb_oof_train,global,is_makeup_workday,0.0,33
day_ahead_price,xgb_oof_train,peak,roll_mean_4,0.41772497731905717,1
day_ahead_price,xgb_oof_train,peak,lag_1,0.3991998891131236,2
day_ahead_price,xgb_oof_train,peak,lag_2,0.020528519060462713,3
day_ahead_price,xgb_oof_train,peak,sin_slot96,0.0158115731095537,4
day_ahead_price,xgb_oof_train,peak,lag_96,0.014894827663038786,5
day_ahead_price,xgb_oof_train,peak,diff_1,0.01246380078821228,6
day_ahead_price,xgb_oof_train,peak,roll_mean_16,0.012283678645662103,7
day_ahead_price,xgb_oof_train,peak,slot96,0.009560402124547042,8
day_ahead_price,xgb_oof_train,peak,lag_192,0.00864993315637828,9
day_ahead_price,xgb_oof_train,peak,roll_mean_96,0.00858993070701567,10
day_ahead_price,xgb_oof_train,peak,hour,0.008510880588661306,11
day_ahead_price,xgb_oof_train,peak,diff_96,0.008152711549952913,12
day_ahead_price,xgb_oof_train,peak,lag_4,0.007657457304258759,13
day_ahead_price,xgb_oof_train,peak,cos_slot96,0.007040234443803246,14
day_ahead_price,xgb_oof_train,peak,roll_std_96,0.0063115490394501155,15
day_ahead_price,xgb_oof_train,peak,dayofweek,0.005947746726003691,16
day_ahead_price,xgb_oof_train,peak,holiday_name_National Day,0.005934200652588446,17
day_ahead_price,xgb_oof_train,peak,lag_672,0.0059151512373668644,18
day_ahead_price,xgb_oof_train,peak,roll_mean_672,0.005687092437605875,19
day_ahead_price,xgb_oof_train,peak,after_holiday_1d,0.00561746523565559,20
day_ahead_price,xgb_oof_train,peak,minute,0.0050194045660856106,21
day_ahead_price,xgb_oof_train,peak,is_holiday,0.00265848183279069,22
day_ahead_price,xgb_oof_train,peak,holiday_name_Spring Festival,0.0025252563690838334,23
day_ahead_price,xgb_oof_train,peak,is_workday,0.0015311805450787337,24
day_ahead_price,xgb_oof_train,peak,before_holiday_1d,0.0008093491463184294,25
