target,scheme,week_cutoff_time,week_end_time,segment,train_rows
day_ahead_price,xgb_oof_train,2025-11-05 00:15:00,2025-11-12,peak,7476
day_ahead_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19,valley,8736
day_ahead_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19,flat,9828
day_ahead_price,xgb_oof_train,2025-11-12 00:15:00,2025-11-19,peak,7644
day_ahead_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26,valley,8896
day_ahead_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26,flat,10008
day_ahead_price,xgb_oof_train,2025-11-19 00:15:00,2025-11-26,peak,7784
day_ahead_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03,valley,9120
day_ahead_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03,flat,10260
day_ahead_price,xgb_oof_train,2025-11-26 00:15:00,2025-12-03,peak,7980
day_ahead_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10,valley,9248
day_ahead_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10,flat,10404
day_ahead_price,xgb_oof_train,2025-12-03 00:15:00,2025-12-10,peak,8092
day_ahead_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17,valley,9408
day_ahead_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17,flat,10584
day_ahead_price,xgb_oof_train,2025-12-10 00:15:00,2025-12-17,peak,8232
day_ahead_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24,valley,9568
day_ahead_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24,flat,10764
day_ahead_price,xgb_oof_train,2025-12-17 00:15:00,2025-12-24,peak,8372
day_ahead_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31,valley,9760
day_ahead_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31,flat,10980
day_ahead_price,xgb_oof_train,2025-12-24 00:15:00,2025-12-31,peak,8540
day_ahead_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01,valley,9952
day_ahead_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01,flat,11196
day_ahead_price,xgb_oof_train,2025-12-31 00:15:00,2026-01-01,peak,8708
